-0.00248;0.99855
0.01312;0.99917
0.02872;0.99977
0.04432;1.00033
0.05992;1.00084
0.07552;1.00127
0.09112;1.00159
0.10673;1.00176
0.12233;1.00172
0.13793;1.00141
0.15353;1.00067
0.16913;0.99923
0.18473;0.99637
0.20033;0.98975
0.21593;0.96762
0.23153;0.92608
0.24713;0.88829
0.26273;0.85226
0.27833;0.81736
0.29393;0.78341
0.30954;0.75031
0.32514;0.71798
0.34074;0.68651
0.35634;0.65615
0.37194;0.62669
0.38754;0.59771
0.40314;0.56903
0.41874;0.54064
0.43434;0.51305
0.44994;0.48978
0.46554;0.47126
0.48114;0.45489
0.49675;0.44281
0.51235;0.43447
0.52795;0.42915
0.54355;0.42629
0.55915;0.42508
0.57475;0.42478
0.59035;0.42494
0.60595;0.42521
0.62155;0.42529
0.63715;0.42481
0.65275;0.42326
0.66835;0.41972
0.68396;0.41273
0.69956;0.40067
0.71516;0.38122
0.73076;0.35379
0.74636;0.32747
0.76196;0.30748
0.77756;0.29258
0.79316;0.28165
0.80876;0.27409
0.82436;0.26932
0.83996;0.26684
0.85556;0.26589
0.87117;0.26583
0.88677;0.26626
0.90237;0.2668
0.91797;0.26692
0.93357;0.2651
0.94917;0.25062
0.96477;0.13785
0.98037;0.12793
0.99597;0.12536
