y T
0 300
0.000155477 300
0.000310954 300
0.000466431 300
0.000621908 300
0.000777385 300
0.000932862 300
0.00108834 300
0.00124382 300
0.00139929 300
0.00155477 300
0.00171025 300
0.00186572 300
0.0020212 300
0.00217668 300
0.00233216 300
0.00248763 300
0.00264311 300
0.00279859 300
0.00295406 300.001
0.00310954 300.003
0.00326502 300.011
0.00342049 300.039
0.00357597 300.14
0.00373145 300.513
0.00388693 301.917
0.0040424 307.291
0.00419788 327.421
0.00435336 394.313
0.00450883 541.723
0.00466431 717.256
0.00481979 844.139
0.00497526 914.89
0.00513074 950.19
0.00528622 967.226
0.0054417 975.776
0.00559717 980.631
0.00575265 983.966
0.00590813 986.707
0.0060636 989.203
0.00621908 991.541
0.00637456 993.685
0.00653004 995.545
0.00668551 997.021
0.00684099 998.019
0.00699647 998.467
0.00715194 998.331
0.00730742 997.611
0.0074629 996.35
0.00761837 994.626
0.00777385 992.547
0.00792933 990.241
0.00808481 987.842
0.00824028 985.485
0.00839576 983.287
0.00855124 981.342
0.00870671 979.711
0.00886219 978.423
0.00901767 977.476
0.00917314 976.853
0.00932862 976.563
0.0094841 976.563
