y p
0 99.999
0.000155477 99.999
0.000310954 99.999
0.000466431 99.999
0.000621908 99.999
0.000777385 99.999
0.000932862 99.999
0.00108834 99.999
0.00124382 99.999
0.00139929 99.999
0.00155477 99.999
0.00171025 99.999
0.00186572 99.999
0.0020212 99.999
0.00217668 99.999
0.00233216 99.999
0.00248763 99.999
0.00264311 99.999
0.00279859 99.999
0.00295406 99.999
0.00310954 99.9991
0.00326502 99.9997
0.00342049 100.002
0.00357597 100.013
0.00373145 100.061
0.00388693 100.267
0.0040424 101.171
0.00419788 105.191
0.00435336 123.565
0.00450883 206.057
0.00466431 457.81
0.00481979 865.063
0.00497526 1231.17
0.00513074 1441.99
0.00528622 1533.74
0.0054417 1568.65
0.00559717 1581.4
0.00575265 1586.22
0.00590813 1588.34
0.0060636 1589.59
0.00621908 1590.6
0.00637456 1591.55
0.00653004 1592.48
0.00668551 1593.38
0.00684099 1594.23
0.00699647 1595.01
0.00715194 1595.71
0.00730742 1596.3
0.0074629 1596.8
0.00761837 1597.21
0.00777385 1597.52
0.00792933 1597.77
0.00808481 1597.94
0.00824028 1598.07
0.00839576 1598.16
0.00855124 1598.21
0.00870671 1598.25
0.00886219 1598.26
0.00901767 1598.28
0.00917314 1598.28
0.00932862 1598.3
0.0094841 1598.3
